2525,1032_IEO_HAP_LO,N,63.56,H,50.89,H,49.8
2526,1032_IEO_HAP_MD,N,64.2,H,65.56,H,58.14
2527,1032_IEO_HAP_HI,N,73.43,H,64.67,H,63.09
2541,1032_TIE_HAP_XX,N,79,H,62.67,H,61.88
2547,1032_IOM_HAP_XX,N,88.57,H,67.56,H,57
2553,1032_IWW_HAP_XX,F,44.71,H,52.25,H,23.4
2559,1032_TAI_HAP_XX,N,52.17,H,61,N,66.43
2565,1032_MTI_HAP_XX,N,52,H,54.38,H,60.29
2577,1032_ITH_HAP_XX,N,75.38,H,61.7,H,58.62
2583,1032_DFA_HAP_XX,H,48.83,H,71.4,H,68.62
2607,1033_IEO_HAP_LO,H:N,56.2:53.8,H,71,H,54.44
2608,1033_IEO_HAP_MD,H,45.5,H,72.89,H,75.56
2609,1033_IEO_HAP_HI,H,56,H,76.62,H,81.8
2623,1033_TIE_HAP_XX,A,33.25,H,67.4,H,49.25
2629,1033_IOM_HAP_XX,N,71.67,H,68,H,60.45
2635,1033_IWW_HAP_XX,N,71.75,H,66.5,H,73.78
2641,1033_TAI_HAP_XX,N,56.33,H,73.25,H,76
2647,1033_MTI_HAP_XX,N,72.4,H,56.75,H,60.33
2653,1033_IWL_HAP_XX,N,71.57,H,79.33,H,59.14
2659,1033_ITH_HAP_XX,N,54.6,H,79.75,H,71.9
2665,1033_DFA_HAP_XX,N,67.25,H,70.56,H,55.78
2671,1033_ITS_HAP_XX,F,57.29,H,55.88,H,67.4
2677,1033_TSI_HAP_XX,A:N,46.33:86.00,H,73.56,H,61.5
2683,1033_WSI_HAP_XX,A,49.14,H,70.22,H,58
2690,1034_IEO_HAP_MD,H,60.29,H,54.67,H,57.71
2691,1034_IEO_HAP_HI,D,66.5,H,64.14,D,63.6
2711,1034_IOM_HAP_XX,H,48.5,H,50.88,H,56.5
2717,1034_IWW_HAP_XX,N,50.83,H,51.83,H,32
2729,1034_MTI_HAP_XX,H:N,59.67:52.67,H,65.25,H,31.5
2735,1034_IWL_HAP_XX,N,60.5,H,54,H,43
2759,1034_TSI_HAP_XX,F,53.6,H,75.4,H,57.71
2771,1035_IEO_HAP_LO,H,70,H,83,H,73.1
2772,1035_IEO_HAP_MD,A:D:N,55:64:62,H,75.38,H,77.67
2773,1035_IEO_HAP_HI,A,54.5,H,71.57,H,62.75
2787,1035_TIE_HAP_XX,A:D:H:N,49.5:41.5:83.5:23.0,H,68.57,H,69.89
2793,1035_IOM_HAP_XX,F,69.67,H,69.88,H,58.67
2799,1035_IWW_HAP_XX,H,46.4,H,64.25,H,76
2805,1035_TAI_HAP_XX,D,76.67,H,66.7,H,61.22
2811,1035_MTI_HAP_XX,N,65,H,66.55,H,73.89
2817,1035_IWL_HAP_XX,N,69.5,H,73.78,H,75.1
2823,1035_ITH_HAP_XX,H:N,41.5:63.0,H,72.44,H,75
2829,1035_DFA_HAP_XX,H,58.5,H,80.33,H,72
2835,1035_ITS_HAP_XX,H,43.5,H,70.4,H,59.22
2841,1035_TSI_HAP_XX,H,73.75,H,78.2,H,71.4
2847,1035_WSI_HAP_XX,H,69.2,H,63.22,H,77.6
2853,1036_IEO_HAP_LO,N,75.8,H,70.62,H,55.33
2854,1036_IEO_HAP_MD,N,57.4,H,62.4,H,48.5
2855,1036_IEO_HAP_HI,F,42.33,H,51.4,F,56
2893,1036_MTI_HAP_XX,F:N,58.50:59.75,H,59.22,H,59
2929,1036_WSI_HAP_XX,A,71.33,H,57.6,A,84.25
2936,1037_IEO_HAP_MD,N,47.86,H,75.2,H,63.44
2937,1037_IEO_HAP_HI,F,84.2,H,71.75,H,79.2
2951,1037_TIE_HAP_XX,H,49.14,H,80.22,H,65.1
2957,1037_IOM_HAP_XX,H,46.7,H,77.6,H,69.78
2963,1037_IWW_HAP_XX,F,44.5,H,71.33,H,56.56
2969,1037_TAI_HAP_XX,H,65,H,82.43,H,82
2975,1037_MTI_HAP_XX,F,71.17,H,82.2,H,81.43
2981,1037_IWL_HAP_XX,H,51.83,H,80.7,H,64.4
2987,1037_ITH_HAP_XX,H,55.5,H,82.89,H,84.6
2993,1037_DFA_HAP_XX,H:N,71.50:82.25,H,87.9,H,77
2999,1037_ITS_HAP_XX,F,59.6,H,75.56,H,75.33
3005,1037_TSI_HAP_XX,A:F,58:57,H,79,H,79.38
3011,1037_WSI_HAP_XX,H,31.5,H,78.11,H,66
3017,1038_IEO_HAP_LO,N,67.78,H,63.67,H,58.09
3018,1038_IEO_HAP_MD,H,45,H,88.12,H,86.9
3019,1038_IEO_HAP_HI,H,88,H,88.67,H,78.89
3033,1038_TIE_HAP_XX,H,72.67,H,82.11,H,68.62
3039,1038_IOM_HAP_XX,N,66.75,H,79,H,83.11
3045,1038_IWW_HAP_XX,N,74.75,H,72.67,H,52
3051,1038_TAI_HAP_XX,H,61.67,H,87,H,68.56
3057,1038_MTI_HAP_XX,N,66.4,H,77.89,H,59.88
3063,1038_IWL_HAP_XX,N,57.4,H,79.22,H,68.7
3069,1038_ITH_HAP_XX,N,59.8,H,70.62,H,72.56
3075,1038_DFA_HAP_XX,N,66.33,H,74,H,70.56
3081,1038_ITS_HAP_XX,H,53.3,H,76.5,H,75.62
3087,1038_TSI_HAP_XX,N,85.75,H,83.44,H,73.44
3093,1038_WSI_HAP_XX,H,47.25,H,58.38,H,72.89
3099,1039_IEO_HAP_LO,N,64,H,55.9,H,49.8
3100,1039_IEO_HAP_MD,H,52.33,H,73.22,H,74
3101,1039_IEO_HAP_HI,F:H,60.67:55.00,H,81.6,H,83.22
3115,1039_TIE_HAP_XX,H,65.89,H,86.8,H,87.5
3121,1039_IOM_HAP_XX,H,31.43,H,67.2,H,74.56
3127,1039_IWW_HAP_XX,H,62.6,H,65.4,H,68.2
3133,1039_TAI_HAP_XX,N,96.8,H,67.38,H,74.4
3139,1039_MTI_HAP_XX,H,73.75,H,85.44,H,82.11
3145,1039_IWL_HAP_XX,A,47.25,H,68.5,H,71.22
3151,1039_ITH_HAP_XX,H,53.5,H,67.89,H,72.14
3157,1039_DFA_HAP_XX,N,64,H,74.14,H,63.7
3163,1039_ITS_HAP_XX,H,55.71,H,53.78,H,67.22
3169,1039_TSI_HAP_XX,H,65,H,72.38,H,79.78
3175,1039_WSI_HAP_XX,H,58.2,H,73.9,H,72.7
3181,1040_IEO_HAP_LO,H,61,H,66.4,H,54
3182,1040_IEO_HAP_MD,H,57.4,H,76.11,H,65.5
3183,1040_IEO_HAP_HI,S,41.25,H,81.11,H,82.89
3197,1040_TIE_HAP_XX,F,40.33,H,60.33,H,63.22
3203,1040_IOM_HAP_XX,N,63,H,63.88,H,54.56
3205,1040_IOM_ANG_XX,N,62.83,H,50.75,N,55.17
3209,1040_IWW_HAP_XX,N,67.75,H,64,H,49.56
3215,1040_TAI_HAP_XX,N,45.14,H,76.89,H,52.89
3221,1040_MTI_HAP_XX,S,42.67,H,61.33,H,58.75
3227,1040_IWL_HAP_XX,N,73.29,H,72.7,H,52.62
3233,1040_ITH_HAP_XX,N,75.43,H,63.75,H,42.78
3239,1040_DFA_HAP_XX,H:N,45:71,H,72.3,H,54.14
3245,1040_ITS_HAP_XX,N,63.4,H,50.5,H,51.88
3251,1040_TSI_HAP_XX,F,49.2,H,61.33,H,62.62
3257,1040_WSI_HAP_XX,N,51.75,H,74,H,57.86
3264,1041_IEO_HAP_MD,N,75.57,H,62.11,H,75
3265,1041_IEO_HAP_HI,D,98.67,H,85.3,H,62
3279,1041_TIE_HAP_XX,N,70.5,H,70.17,H,47.2
3291,1041_IWW_HAP_XX,N,63.17,H,52.67,H:N,38.6:78.6
3297,1041_TAI_HAP_XX,N,67.71,H,65.38,H,68.25
3303,1041_MTI_HAP_XX,N,84.17,H,66.1,H,45.38
3309,1041_IWL_HAP_XX,N,65.17,H,53.9,H,69.25
3321,1041_DFA_HAP_XX,H,42.67,H,59.25,H,67.67
3346,1042_IEO_HAP_MD,H,40,H,58.86,H,54.4
3379,1042_TAI_HAP_XX,H,54.88,H,58.29,H,50.89
3397,1042_ITH_HAP_XX,H:N,58.75:61.25,H,76.2,H,62.4
3403,1042_DFA_HAP_XX,N,47.8,H,58.33,H,43
3409,1042_ITS_HAP_XX,H:N,36.25:60.25,H,58.67,H,51.83
3427,1043_IEO_HAP_LO,H:N,50.2:80.2,H,68.71,H,70.38
3428,1043_IEO_HAP_MD,H,60.75,H,77.9,H,72.7
3429,1043_IEO_HAP_HI,F,51.5,H,74.25,H,73.2
3443,1043_TIE_HAP_XX,A,36.6,H,78.57,H,66
3449,1043_IOM_HAP_XX,N,61.5,H,84.22,H,66.44
3455,1043_IWW_HAP_XX,N,63,H,60.8,H,48.71
3461,1043_TAI_HAP_XX,D:N,83:39,H,69.56,H,63.1
3467,1043_MTI_HAP_XX,H,58.83,H,69.43,H,64.3
3473,1043_IWL_HAP_XX,N,60.8,H,79.6,H,80.43
3479,1043_ITH_HAP_XX,N,63.5,H,73.3,H,63.7
3485,1043_DFA_HAP_XX,H,56.57,H,75.57,H,64
3491,1043_ITS_HAP_XX,H:N,28.50:84.75,H,77.67,H,67.43
3497,1043_TSI_HAP_XX,H,52.4,H,78.89,H,74.89
3503,1043_WSI_HAP_XX,N,54.5,H,77.43,H,73
3509,1044_IEO_HAP_LO,H:N,45.25:44.50,H,74.33,H,65.89
3510,1044_IEO_HAP_MD,N,67.6,H,74.11,H,69.62
3511,1044_IEO_HAP_HI,N,58.25,H,68.2,H,60.5
3525,1044_TIE_HAP_XX,N,71.33,H,59.44,H,70.5
3531,1044_IOM_HAP_XX,H,53.88,H,63.7,H,56.25
3537,1044_IWW_HAP_XX,N,71.33,H,72.25,H,70.43
3543,1044_TAI_HAP_XX,H,43,H,65.25,H,58.86
3549,1044_MTI_HAP_XX,N,57.17,H,55.29,H,53.14
3555,1044_IWL_HAP_XX,N,59.86,H,77,H,66.25
3561,1044_ITH_HAP_XX,N,53.4,H,76,H,62.2
3567,1044_DFA_HAP_XX,N,54.71,H,61.43,H,54.9
3573,1044_ITS_HAP_XX,H,48.25,H,59.8,H,74.62
3579,1044_TSI_HAP_XX,F,57,H,71,H,66.11
3585,1044_WSI_HAP_XX,A:D,39.5:51.0,H,80.44,H,71.44
3592,1045_IEO_HAP_MD,N,57,H,58.33,H,48.5
3593,1045_IEO_HAP_HI,N,64.86,H,77.67,H,72.14
3607,1045_TIE_HAP_XX,N,66.75,H,75.33,H,66.5
3613,1045_IOM_HAP_XX,N,62.17,H,59.6,H,67.56
3625,1045_TAI_HAP_XX,N,77.43,H,60.22,H,33.88
3631,1045_MTI_HAP_XX,N,73.22,H,57.12,H,61.71
3637,1045_IWL_HAP_XX,N,65.22,H,72.89,H,65.1
3655,1045_ITS_HAP_XX,N,62.4,H,60.17,H,40.56
3667,1045_WSI_HAP_XX,N,77.2,H,73.14,H,67.2
3674,1046_IEO_HAP_MD,N,71.14,H,69.38,H,67.78
3675,1046_IEO_HAP_HI,H,53.71,H,63.3,H,55.75
3679,1046_IEO_ANG_LO,N,68,H,50.29,N,75.5
3719,1046_IWL_HAP_XX,N,64.57,H,71.56,H,66
3725,1046_ITH_HAP_XX,N,45.4,H,61.17,H,29.2
3731,1046_DFA_HAP_XX,H:N,31.6:77.4,H,58.5,N,57.57
3737,1046_ITS_HAP_XX,H,71.67,H,82.3,H,66
3743,1046_TSI_HAP_XX,N,67.4,H,80.2,H,34.67
3749,1046_WSI_HAP_XX,A,40.75,H,55.71,H,72.38
3755,1047_IEO_HAP_LO,N,75.33,H,89.6,H,76.44
3756,1047_IEO_HAP_MD,N,59.75,H,67.44,H,67.1
3757,1047_IEO_HAP_HI,A,57.33,H,77,H,66.57
3771,1047_TIE_HAP_XX,A,86.25,H,86.89,H,77
3777,1047_IOM_HAP_XX,H,64.33,H,84,H,67.56
3783,1047_IWW_HAP_XX,H,57.25,H,75.8,H,81.6
3789,1047_TAI_HAP_XX,H,52.25,H,71.88,H,62
3795,1047_MTI_HAP_XX,N,57.83,H,84.38,H,80
3801,1047_IWL_HAP_XX,A,36.4,H,77.1,H,62
3807,1047_ITH_HAP_XX,N,62,H,75.64,H,80.38
3813,1047_DFA_HAP_XX,H,70.6,H,71,H,71.56
3819,1047_ITS_HAP_XX,D:N,50.33:59.00,H,74,H,76.22
3825,1047_TSI_HAP_XX,F,50.67,H,80.22,H,64
3831,1047_WSI_HAP_XX,H,39.75,H,73.1,H,51
3837,1048_IEO_HAP_LO,N,70.5,H,51,H,34
3838,1048_IEO_HAP_MD,N,59.14,H,70.56,H,73
3839,1048_IEO_HAP_HI,N,75,H,69,H,53.75
3853,1048_TIE_HAP_XX,N,69.5,H,59.38,H,36.12
3859,1048_IOM_HAP_XX,N,74,H,53.7,H,52.33
3865,1048_IWW_HAP_XX,H,47.8,H,63.5,H,42.29
3871,1048_TAI_HAP_XX,N,44.86,H,64.75,H,45.12
3877,1048_MTI_HAP_XX,H,43.43,H,63.78,H,55
3883,1048_IWL_HAP_XX,N,62.6,H,65,H,71.62
3889,1048_ITH_HAP_XX,N,71.4,H,66,H,50.8
3895,1048_DFA_HAP_XX,H,60,H,68.4,H,82.14
3901,1048_ITS_HAP_XX,N,47.5,H,67.6,H,60.67
3907,1048_TSI_HAP_XX,N,65.38,H,69.11,H,61.89
3913,1048_WSI_HAP_XX,N,81,H,53.55,H,51.11
3919,1049_IEO_HAP_LO,N,47,H,77.89,H,77.5
3920,1049_IEO_HAP_MD,H,78.62,H,84.86,H,90.88
3921,1049_IEO_HAP_HI,A:H:N,43.5:35.5:47.5,H,76.9,H,88.3
3926,1049_IEO_ANG_MD,A,71.12,H,68.78,A,38.83
3935,1049_TIE_HAP_XX,H,51.17,H,79.1,H,89.2
3941,1049_IOM_HAP_XX,H:N,74.00:61.67,H,82.86,H,72.91
3947,1049_IWW_HAP_XX,H,66,H,82.11,H,71.2
3953,1049_TAI_HAP_XX,F,43.2,H,79.1,H,77.22
3959,1049_MTI_HAP_XX,H,61.25,H,88.11,H,70.1
3965,1049_IWL_HAP_XX,H,74.75,H,76.71,H,86.4
3971,1049_ITH_HAP_XX,H,64.8,H,78,H,86.86
3977,1049_DFA_HAP_XX,H,61.17,H,89.5,H,76.89
3983,1049_ITS_HAP_XX,H,81.56,H,82.11,H,86.3
3989,1049_TSI_HAP_XX,F,82.5,H,88,H,85
3995,1049_WSI_HAP_XX,H,68.43,H,86.8,H,78.56
4001,1050_IEO_HAP_LO,N,65,H,69.71,H,69.5
4002,1050_IEO_HAP_MD,D,74.75,H,83,H,77.5
4003,1050_IEO_HAP_HI,A,87,H,91.11,H,77.56
4014,1050_IEO_DIS_MD,D,56.5,H,61.5,D,61.5
4017,1050_TIE_HAP_XX,N,63.57,H,79.5,H,68.33
4018,1050_TIE_SAD_XX,N,62.71,H,55.75,N,70
4023,1050_IOM_HAP_XX,N,77.17,H,57.83,H,30.83
4029,1050_IWW_HAP_XX,D,36.67,H,75.6,H,38.71
4035,1050_TAI_HAP_XX,N,79.17,H,66.78,H,55.89
4047,1050_IWL_HAP_XX,D:N,48.67:51.67,H,72.12,H,56.88
4053,1050_ITH_HAP_XX,N,62.43,H,79.89,H,47.29
4059,1050_DFA_HAP_XX,D:N,53.67:48.67,H,79.5,H,63.38
4065,1050_ITS_HAP_XX,H,43.25,H,86.5,H,84.78
4071,1050_TSI_HAP_XX,N,64.25,H,80.9,H,60.44
4077,1050_WSI_HAP_XX,A,49.8,H,86.78,H,86.14
4083,1051_IEO_HAP_LO,N,74.7,H,67.56,H,63.78
4084,1051_IEO_HAP_MD,N,73,H,74.25,H,58.64
4085,1051_IEO_HAP_HI,N,57.5,H,80,H,74.88
4099,1051_TIE_HAP_XX,N,69.86,H,76.22,H,67.75
4105,1051_IOM_HAP_XX,N,64.78,H,62.6,H,67.8
4111,1051_IWW_HAP_XX,F,43,H,62.8,H,63.89
4117,1051_TAI_HAP_XX,N,63,H,56.8,H,54.5
4123,1051_MTI_HAP_XX,H:N,57.33:82.00,H,65.89,H,59.3
4129,1051_IWL_HAP_XX,N,79.17,H,65.2,H,68
4135,1051_ITH_HAP_XX,N,60.44,H,76.11,H,65.8
4141,1051_DFA_HAP_XX,N,69.71,H,70.38,H,70
4147,1051_ITS_HAP_XX,N,61.88,H,73,H,51.14
4153,1051_TSI_HAP_XX,N,68,H,73.75,H,54.89
4159,1051_WSI_HAP_XX,N,68.75,H,65.67,H,58.89
4165,1052_IEO_HAP_LO,N,48.12,H,79.11,H,76.5
4166,1052_IEO_HAP_MD,N,57.71,H,76.33,H,78.27
4167,1052_IEO_HAP_HI,H,49.25,H,76.7,H,91.27
4181,1052_TIE_HAP_XX,N,55,H,74.56,H,73
4187,1052_IOM_HAP_XX,H:N,55:48,H,80.22,H,66.33
4193,1052_IWW_HAP_XX,F,41.5,H,67.7,H,57.62
4199,1052_TAI_HAP_XX,F,79.86,H,90.11,H,89.9
4205,1052_MTI_HAP_XX,H,32.25,H,53.56,H,62.12
4211,1052_IWL_HAP_XX,N,56.17,H,80.89,H,67.75
4217,1052_ITH_HAP_XX,N,69.5,H,81.11,H,73
4223,1052_DFA_HAP_XX,N,66.6,H,86.2,H,63.78
4229,1052_ITS_HAP_XX,H,73.2,H,77.89,H,68.44
4235,1052_TSI_HAP_XX,N,65.25,H,86.3,H,61.12
4241,1052_WSI_HAP_XX,D:H:N,40.5:42.0:38.5,H,73.62,H,59.5
4247,1053_IEO_HAP_LO,N,69.17,H,66.67,H,76.88
4248,1053_IEO_HAP_MD,N,62.25,H,81.75,H,75.1
4249,1053_IEO_HAP_HI,F,61.29,H,84.7,H,84.3
4263,1053_TIE_HAP_XX,N,79.5,H,88.88,H,90.11
4269,1053_IOM_HAP_XX,H,52.62,H,82.44,H,66.62
4275,1053_IWW_HAP_XX,H,58.25,H,86.29,H,70.56
4281,1053_TAI_HAP_XX,N,65.75,H,72.6,H,83.8
4287,1053_MTI_HAP_XX,N,59.8,H,72.22,H,68.78
4293,1053_IWL_HAP_XX,N,65.5,H,81.89,H,78.88
4299,1053_ITH_HAP_XX,F,81.5,H,84.3,H,65.78
4305,1053_DFA_HAP_XX,N,66.67,H,83.82,H,79.89
4311,1053_ITS_HAP_XX,H,55.4,H,75.56,H,82.8
4317,1053_TSI_HAP_XX,A,51.5,H,78.11,H,68.5
4323,1053_WSI_HAP_XX,A,34.4,H,86.75,H,61.25
4329,1054_IEO_HAP_LO,N,61.86,H,69.75,H,63.12
4330,1054_IEO_HAP_MD,D,39.75,H,78.25,H,77.9
4331,1054_IEO_HAP_HI,F:H,67.75:71.25,H,80,H,74.8
4345,1054_TIE_HAP_XX,H,38.2,H,76.88,H,74.7
4351,1054_IOM_HAP_XX,N,69.67,H,77.44,H,58.38
4357,1054_IWW_HAP_XX,H,55.8,H,67.67,H,65.33
4363,1054_TAI_HAP_XX,H,56.83,H,76,H,72.11
4369,1054_MTI_HAP_XX,S,48,H,81.12,H,67.67
4375,1054_IWL_HAP_XX,H:N,43.6:72.4,H,77.89,H,68.1
4381,1054_ITH_HAP_XX,N,78.56,H,74.3,H,77
4387,1054_DFA_HAP_XX,H,49.17,H,85.64,H,66.64
4393,1054_ITS_HAP_XX,H,73.57,H,76.6,H,75
4399,1054_TSI_HAP_XX,F,56.38,H,78.36,H,58.22
4405,1054_WSI_HAP_XX,N,53.75,H,81.7,H,71.3
4412,1055_IEO_HAP_MD,N,75.6,H,79.1,H,74.78
4413,1055_IEO_HAP_HI,F,84.38,H,84.12,H,83.71
4427,1055_TIE_HAP_XX,N,87.67,H,81.38,H,69
4433,1055_IOM_HAP_XX,H,43.5,H,66.56,H,82.8
4439,1055_IWW_HAP_XX,N,70,H,74.29,H,55.45
4445,1055_TAI_HAP_XX,N,58.83,H,84.11,H,61.11
4451,1055_MTI_HAP_XX,N,36,H,50.7,H,60.25
4457,1055_IWL_HAP_XX,N,67.67,H,63.11,H,55.78
4463,1055_ITH_HAP_XX,H:N,39.33:60.67,H,68.43,H,68.5
4469,1055_DFA_HAP_XX,N,75.25,H,68.78,H,67.33
4475,1055_ITS_HAP_XX,N,56.17,H,81.3,H,62.4
4481,1055_TSI_HAP_XX,H,50.75,H,83.22,H,82.2
4487,1055_WSI_HAP_XX,A:H,58.67:63.67,H,82.11,H,62.22
4494,1056_IEO_HAP_MD,H,59,H,82,H,81.67
4495,1056_IEO_HAP_HI,H,50.67,H,85,H,84.14
4509,1056_TIE_HAP_XX,N,60.6,H,74.8,H,75.29
4515,1056_IOM_HAP_XX,N,67.75,H,68.62,H,69.25
4521,1056_IWW_HAP_XX,F,56.4,H,66.5,H,57.62
4527,1056_TAI_HAP_XX,N,79,H,58.4,N,79.67
4533,1056_MTI_HAP_XX,H,75,H,74.56,H,81.56
4539,1056_IWL_HAP_XX,H:N,56.5:88.0,H,72.89,H,66.78
4545,1056_ITH_HAP_XX,N,58,H,60.2,H,47.43
4551,1056_DFA_HAP_XX,H,64.14,H,75.86,H,52.14
4557,1056_ITS_HAP_XX,H,51.75,H,69.12,H,59.1
4563,1056_TSI_HAP_XX,D,39.25,H,75.75,H,61.3
4569,1056_WSI_HAP_XX,N,48.2,H,70.33,H,52.25
4575,1057_IEO_HAP_LO,N,65.89,H,73.67,H,63.5
4576,1057_IEO_HAP_MD,N,38.4,H,78.2,H,70.22
4577,1057_IEO_HAP_HI,F,79.67,H,87.1,H,82
4582,1057_IEO_ANG_MD,A,56.67,H,56.83,A,28.67
4591,1057_TIE_HAP_XX,A,54.22,H,81.86,H,76.43
4597,1057_IOM_HAP_XX,N,59.43,H,75.33,H,82.1
4603,1057_IWW_HAP_XX,A,59.8,H,71,H,78.43
4609,1057_TAI_HAP_XX,F,39,H,80.2,H,85.33
4615,1057_MTI_HAP_XX,N,51.5,H,71.6,H,62.38
4621,1057_IWL_HAP_XX,A,70.14,H,79.56,H,60.27
4627,1057_ITH_HAP_XX,N,78,H,62,H,71.78
4633,1057_DFA_HAP_XX,N,73.57,H,75.78,H,63.67
4639,1057_ITS_HAP_XX,N,62,H,68.57,H,64.22
4645,1057_TSI_HAP_XX,F,56,H,75.67,H,64.71
4651,1057_WSI_HAP_XX,F,61,H,70.62,H,66.7
4657,1058_IEO_HAP_LO,N,59.57,H,65.78,H,58.44
4658,1058_IEO_HAP_MD,H,61,H,72.43,H,69.3
4659,1058_IEO_HAP_HI,F,66.25,H,84.09,H,83.5
4673,1058_TIE_HAP_XX,A,57.6,H,81.3,H,70.56
4679,1058_IOM_HAP_XX,N,54.6,H,79.9,H,77.25
4685,1058_IWW_HAP_XX,F,54.33,H,75.3,H,72.22
4691,1058_TAI_HAP_XX,F:H:N,45.5:46.0:36.0,H,67,H,63.88
4697,1058_MTI_HAP_XX,N,80.5,H,79.67,H,76.5
4703,1058_IWL_HAP_XX,H,59,H,87.9,H,82.1
4709,1058_ITH_HAP_XX,N,49.33,H,84.67,H,75
4715,1058_DFA_HAP_XX,N,71.25,H,75.78,H,71.25
4721,1058_ITS_HAP_XX,H,49.67,H,86.2,H,72.56
4727,1058_TSI_HAP_XX,F:H,54.67:58.00,H,76,H,59.33
4733,1058_WSI_HAP_XX,A,65.83,H,89.4,H,72.62
4740,1059_IEO_HAP_MD,H,61.86,H,79.82,H,86.33
4741,1059_IEO_HAP_HI,H,83.33,H,86.89,H,79.56
4755,1059_TIE_HAP_XX,A,73,H,79.6,H,74.2
4761,1059_IOM_HAP_XX,N,75.6,H,81.62,H,77.1
4767,1059_IWW_HAP_XX,A,33.25,H,73.33,H,58.17
4773,1059_TAI_HAP_XX,H,59,H,74.29,H,73.5
4779,1059_MTI_HAP_XX,A:H:N,50.5:30.0:94.5,H,63.43,H,68
4785,1059_IWL_HAP_XX,A,64.67,H,71,H,74.33
4791,1059_ITH_HAP_XX,H:N,38.75:66.75,H,78.78,H,81.38
4797,1059_DFA_HAP_XX,N,93.25,H,71.7,H,57.11
4803,1059_ITS_HAP_XX,H:N,60.33:60.33,H,68.78,H,80.25
4809,1059_TSI_HAP_XX,A:D:F:N,59:59:78:62,H,72.44,H,68.22
4815,1059_WSI_HAP_XX,A,68.5,H,58.78,H,62.8
4821,1060_IEO_HAP_LO,H:N,38.5:53.0,H,73.56,H,67.7
4822,1060_IEO_HAP_MD,H,57,H,75.22,H,57
4823,1060_IEO_HAP_HI,N,77.2,H,71.5,H,68.89
4837,1060_TIE_HAP_XX,H,39.43,H,67.25,H,65.67
4843,1060_IOM_HAP_XX,N,56.25,H,63.62,H,58.3
4849,1060_IWW_HAP_XX,N,48,H,69.33,H,53.43
4855,1060_TAI_HAP_XX,N,79.2,H,64.6,H,59.7
4861,1060_MTI_HAP_XX,N,75.5,H,72,H,64.78
4867,1060_IWL_HAP_XX,N,51,H,71.25,H,56
4873,1060_ITH_HAP_XX,N,71.5,H,77.56,H,74.11
4879,1060_DFA_HAP_XX,N,76.67,H,66.3,H,76.7
4885,1060_ITS_HAP_XX,N,66.78,H,64.82,H,64.8
4891,1060_TSI_HAP_XX,D:F,43.67:42.00,H,74.44,H,75.86
4897,1060_WSI_HAP_XX,N,53.33,H,51.73,H,49.4
4903,1061_IEO_HAP_LO,N,64.12,H,82.38,H,78.67
4904,1061_IEO_HAP_MD,H:N,68.25:67.00,H,84.33,H,74.11
4905,1061_IEO_HAP_HI,H,40.8,H,83.4,H,81.33
4919,1061_TIE_HAP_XX,N,74.75,H,71.12,H,74.33
4925,1061_IOM_HAP_XX,N,73,H,85.38,H,70
4931,1061_IWW_HAP_XX,N,67.2,H,76.89,H,72
4937,1061_TAI_HAP_XX,N,55.25,H,80.4,H,64.67
4943,1061_MTI_HAP_XX,N,43.75,H,80.5,H,57
4949,1061_IWL_HAP_XX,N,55.12,H,64.3,H,55.12
4955,1061_ITH_HAP_XX,N,63.44,H,78.11,H,59
4961,1061_DFA_HAP_XX,H,47.89,H,78.5,H,75.5
4967,1061_ITS_HAP_XX,H,51,H,78.8,H,79.67
4973,1061_TSI_HAP_XX,H,35.25,H,84.6,H,60.5
4979,1061_WSI_HAP_XX,H,44.8,H,79.8,H,61.89
4985,1062_IEO_HAP_LO,N,80.71,H,61.56,H,55
4986,1062_IEO_HAP_MD,N,69.17,H,50.5,H,66
4987,1062_IEO_HAP_HI,N,42,H,63,H,54
5001,1062_TIE_HAP_XX,N,66.43,H,61.38,H,58.75
5007,1062_IOM_HAP_XX,N,69.5,H,74.12,H,60.83
5013,1062_IWW_HAP_XX,N,58.83,H,70.71,H,73.43
5025,1062_MTI_HAP_XX,H:N,49.33:61.67,H,61,H,31
5031,1062_IWL_HAP_XX,N,75.6,H,51.83,H,63.57
5037,1062_ITH_HAP_XX,N,72.83,H,65.25,N,46.5
5049,1062_ITS_HAP_XX,N,52.8,H,72.29,H,59.62
5061,1062_WSI_HAP_XX,N,52,H,55.75,H,51.4
5067,1063_IEO_HAP_LO,H,65.14,H,83,H,74.1
5068,1063_IEO_HAP_MD,F,76,H,76,H,78
5069,1063_IEO_HAP_HI,H,66.78,H,79.89,H,80.56
5089,1063_IOM_HAP_XX,H,27.5,H,69.14,H,63
5095,1063_IWW_HAP_XX,H,60.8,H,74.56,H,68.4
5101,1063_TAI_HAP_XX,H,58,H,73.6,H,82.89
5107,1063_MTI_HAP_XX,H:N:S,76.67:60.67:72.67,H,79,H,85.22
5113,1063_IWL_HAP_XX,H,42.5,H,65.4,H,39.25
5119,1063_ITH_HAP_XX,H,77.12,H,69,H,55.82
5125,1063_DFA_HAP_XX,H,64.83,H,63,H,70.67
5131,1063_ITS_HAP_XX,H,64.75,H,80.5,H,66.22
5137,1063_TSI_HAP_XX,F,79.25,H,75.5,H,51.86
5143,1063_WSI_HAP_XX,H:N,63.25:57.00,H,63.4,H,55.71
5149,1064_IEO_HAP_LO,N,59.7,H,72.88,H,50.88
