1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
5963,1073_WSI_HAP_XX,D,73.5,H,83.1,H,84.14
5969,1074_IEO_HAP_LO,H,48.29,H,88,H,72.9
5970,1074_IEO_HAP_MD,H,77.5,H,91.78,H,90.88
5971,1074_IEO_HAP_HI,H,78,H,83.3,H,89.6
5985,1074_TIE_HAP_XX,H,64.14,H,85.18,H,85
5991,1074_IOM_HAP_XX,N,67.8,H,79.44,H,82.5
5997,1074_IWW_HAP_XX,H,66.17,H,84,H,87.4
6003,1074_TAI_HAP_XX,H,71.2,H,87.78,H,80.11
6009,1074_MTI_HAP_XX,H,50,H,86.38,H,87.5
6039,1074_TSI_HAP_XX,A,66.5,H,80.88,H,57.22
6103,1075_ITH_HAP_XX,H,53.9,H,77.89,H,85.38
6121,1075_TSI_HAP_XX,N,83.67,H,85.33,H,78.9
6127,1075_WSI_HAP_XX,N,40.5,H,75.78,H,73.12
6134,1076_IEO_HAP_MD,N,74.56,H,87.9,H,69
6135,1076_IEO_HAP_HI,H,70.11,H,82.3,H,69.12
6149,1076_TIE_HAP_XX,A:H,26.0:71.5,H,82.11,H,60.7
6155,1076_IOM_HAP_XX,H,60.86,H,77.3,H,75.11
6161,1076_IWW_HAP_XX,A,49.25,H,78.75,H,80.29
6167,1076_TAI_HAP_XX,H,47.8,H,88.9,H,72.1
6179,1076_IWL_HAP_XX,A,26.25,H,79.7,H,57
6185,1076_ITH_HAP_XX,N,65.4,H,81.22,H,76.89
6196,1076_ITS_HAP_XX,H,68.6,H,82,H,72.33
6214,1077_IEO_HAP_LO,N,85.25,H,82.33,H,70.9
6215,1077_IEO_HAP_MD,N,72.86,H,84.3,H,78.75
6216,1077_IEO_HAP_HI,N,57.4,H,78,H,80.78
6230,1077_TIE_HAP_XX,N,56.5,H,86.11,H,67.17
6236,1077_IOM_HAP_XX,N,53.88,H,83.9,H,77.1
6242,1077_IWW_HAP_XX,N,54.29,H,84.57,H,78.56
6248,1077_TAI_HAP_XX,N,66.33,H,82.78,H,79.4
6284,1077_TSI_HAP_XX,N,67.29,H,79,H,75.14
6297,1078_IEO_HAP_MD,H,63.33,H,81.55,H,87.67
6298,1078_IEO_HAP_HI,F,74.67,H,76.38,H,82.33
6312,1078_TIE_HAP_XX,A:N,63.33:37.33,H,77.1,H,72.9
6318,1078_IOM_HAP_XX,H,46,H,83.3,H,74.7
6324,1078_IWW_HAP_XX,N,62,H,93.33,H,73.67
6336,1078_MTI_HAP_XX,F:N,44.33:68.00,H,75.2,H,70.9
6342,1078_IWL_HAP_XX,N,80.67,H,81.4,H,73.67
6348,1078_ITH_HAP_XX,H,69.17,H,79.4,H,89.7
6354,1078_DFA_HAP_XX,H,71.5,H,75.33,H,78
6360,1078_ITS_HAP_XX,H,51.5,H,76.25,H,75.33
6366,1078_TSI_HAP_XX,H,61.14,H,80.4,H,82.9
6372,1078_WSI_HAP_XX,F,53.5,H,82.56,H,77.43
6379,1079_IEO_HAP_MD,H,69.6,H,89.09,H,73.64
6380,1079_IEO_HAP_HI,H,68.71,H,95.18,H,91.4
6394,1079_TIE_HAP_XX,H,56.5,H,81.71,H,88.2
6412,1079_TAI_HAP_XX,H,71.43,H,88.8,H,79.33
6418,1079_MTI_HAP_XX,H,78.44,H,86,H,69.9
6424,1079_IWL_HAP_XX,H,73.83,H,81.44,H,77.5
6430,1079_ITH_HAP_XX,H,53.33,H,81.11,H,74.09
6436,1079_DFA_HAP_XX,H,76.43,H,78.67,H,73.89
6448,1079_TSI_HAP_XX,H,73.17,H,82.22,H,73.88
6461,1080_IEO_HAP_MD,N,64.2,H,84.4,H,85.86
6462,1080_IEO_HAP_HI,H,78.17,H,81,H,71.8
6476,1080_TIE_HAP_XX,N,67.17,H,80.89,H,59.62
6494,1080_TAI_HAP_XX,N,65.57,H,84.89,H,72.4
6524,1080_ITS_HAP_XX,N,57.5,H,79.33,H,72.57
6530,1080_TSI_HAP_XX,N,48.67,H,78.56,H,79.2
6543,1081_IEO_HAP_MD,D,52.6,H,79.89,H,68
6544,1081_IEO_HAP_HI,H,78.5,H,83.7,H,91
6564,1081_IOM_HAP_XX,N,52.83,H,79.89,H,65.8
6576,1081_TAI_HAP_XX,F,72.5,H,77.4,H,84.8
6582,1081_MTI_HAP_XX,N,56.75,H,78.78,H,82.6
6588,1081_IWL_HAP_XX,N,74.5,H,81.3,H,74.67
6594,1081_ITH_HAP_XX,H,54.67,H,86.5,H,77.44
6606,1081_ITS_HAP_XX,F,43.25,H,81.44,H,81.3
6612,1081_TSI_HAP_XX,H,76.67,H,77.2,H,89.62
6618,1081_WSI_HAP_XX,N,67,H,88.44,H,88.2
6624,1082_IEO_HAP_LO,H,64.6,H,80.5,H,69
6625,1082_IEO_HAP_MD,N,84.67,H,81.22,H,67.2
6626,1082_IEO_HAP_HI,H,65.2,H,80.12,H,78.3
6640,1082_TIE_HAP_XX,A:N,37.33:47.67,H,86.36,H,70.09
6646,1082_IOM_HAP_XX,H,30.6,H,77.3,H,83.8
6652,1082_IWW_HAP_XX,H,26.67,H,78.45,H,82
6670,1082_IWL_HAP_XX,H,67,H,76.4,H,68.14
6676,1082_ITH_HAP_XX,H,68.4,H,86.9,H,76.56
6682,1082_DFA_HAP_XX,N,65.83,H,90.43,H,81.11
6688,1082_ITS_HAP_XX,H,56.86,H,81.1,H,70.78
6708,1083_IEO_HAP_HI,A,77,H,77.12,H,78.29
6722,1083_TIE_HAP_XX,N,65.75,H,77.86,H,64
6740,1083_TAI_HAP_XX,N,57.38,H,76.4,H,68.5
6782,1083_WSI_HAP_XX,N,61.17,H,75.6,H,67
6788,1084_IEO_HAP_LO,N,76.6,H,76.3,H,72
6789,1084_IEO_HAP_MD,N,62.8,H,76.7,H,56.88
6790,1084_IEO_HAP_HI,H:N,57.00:60.33,H,83.33,H,80.4
6804,1084_TIE_HAP_XX,N,53.4,H,82.83,H,79.1
6810,1084_IOM_HAP_XX,N,52.75,H,75,H,65.6
6816,1084_IWW_HAP_XX,N,68,H,75.7,H,66.1
6822,1084_TAI_HAP_XX,N,68.44,H,93.6,H,70.78
6834,1084_IWL_HAP_XX,N,62.44,H,80.4,H,59
6840,1084_ITH_HAP_XX,N,67.14,H,77,H,70
6846,1084_DFA_HAP_XX,N,67.57,H,79.89,H,78.6
6852,1084_ITS_HAP_XX,N,72.5,H,76.2,H,77.56
6864,1084_WSI_HAP_XX,N,72,H,78.8,H,70.3
6872,1085_IEO_HAP_HI,H,56.71,H,76.78,H,68.6
6910,1085_MTI_HAP_XX,N,72.17,H,88.5,H,60.3
6916,1085_IWL_HAP_XX,N,72.67,H,79.5,H,63.2
6922,1085_ITH_HAP_XX,H,71,H,77.44,H,77.78
6928,1085_DFA_HAP_XX,H,55.5,H,85.44,H,68.55
6946,1085_WSI_HAP_XX,D,51,H,85.33,H,81
6953,1086_IEO_HAP_MD,A,51.8,H,78.83,H,73
6954,1086_IEO_HAP_HI,H,77.33,H,85.33,H,82.1
6974,1086_IOM_HAP_XX,H,60.25,H,87.1,H,66.44
6992,1086_MTI_HAP_XX,N,71,H,86.8,H,74.2
7004,1086_ITH_HAP_XX,H,62,H,76.12,H,75.8
7016,1086_ITS_HAP_XX,H,60,H,75.12,H,72.5
7022,1086_TSI_HAP_XX,N,57.75,H,77.9,H,79.88
7028,1086_WSI_HAP_XX,H,63.7,H,75.67,H,81.2
7036,1087_IEO_HAP_HI,F:H:N,43.0:76.5:66.5,H,76.67,H,85.56
7104,1087_TSI_HAP_XX,N,67.83,H,76.62,H,75.11
7118,1088_IEO_HAP_HI,A:H:N,55:67:77,H,83.67,H,76.75
7132,1088_TIE_HAP_XX,N,69,H,76,H,72.33
7168,1088_ITH_HAP_XX,N,70.12,H,75,H,51.67
7180,1088_ITS_HAP_XX,F,65.8,H,86.14,H,76.67
7192,1088_WSI_HAP_XX,N,76,H,83.44,H,61.14
7198,1089_IEO_HAP_LO,H,71.44,H,81,H,75.25
7199,1089_IEO_HAP_MD,H,46.43,H,86.44,H,78.33
7200,1089_IEO_HAP_HI,H,61.57,H,80.57,H,77.3
7214,1089_TIE_HAP_XX,H,65.8,H,84.8,H,72.3
7220,1089_IOM_HAP_XX,H,70.4,H,81.25,H,84
7226,1089_IWW_HAP_XX,F:H,79.33:63.00,H,80.1,H,71.5
7232,1089_TAI_HAP_XX,H,60.86,H,88.3,H,78.6
7238,1089_MTI_HAP_XX,H,60.44,H,75.29,H,78
7274,1089_WSI_HAP_XX,N,67.25,H,77.11,H,81.22
7281,1090_IEO_HAP_MD,N,59,H,81.56,H,76.25
7296,1090_TIE_HAP_XX,H,59,H,77.9,H,70.5
7320,1090_MTI_HAP_XX,N,73.43,H,81.1,H,65.33
7350,1090_TSI_HAP_XX,F,51,H,78.22,H,68.12
7362,1091_IEO_HAP_LO,N,75.33,H,85.7,H,67
7378,1091_TIE_HAP_XX,N,53.14,H,75.88,H,61.33
7408,1091_IWL_HAP_XX,N,62.8,H,88.2,H,64
7414,1091_ITH_HAP_XX,N,78.25,H,83.3,H,66.5
7426,1091_ITS_HAP_XX,N,53,H,88,H,67.8
7432,1091_TSI_HAP_XX,N,75.43,H,76.75,H,64.2
